DATE,ACOGNO
2015-11-01,184115.0
2015-12-01,179440.0
2016-01-01,176637.0
2016-02-01,176532.0
2016-03-01,178254.0
2016-04-01,178929.0
2016-05-01,179537.0
2016-06-01,184188.0
2016-07-01,181207.0
2016-08-01,181998.0
2016-09-01,183343.0
2016-10-01,184665.0
2016-11-01,183685.0
2016-12-01,190982.0
2017-01-01,191247.0
2017-02-01,190943.0
2017-03-01,189650.0
2017-04-01,189927.0
2017-05-01,190201.0
2017-06-01,190763.0
2017-07-01,190484.0
2017-08-01,194251.0
2017-09-01,194965.0
2017-10-01,198225.0
2017-11-01,203301.0
2017-12-01,201847.0
2018-01-01,204437.0
2018-02-01,205087.0
2018-03-01,205346.0
2018-04-01,206719.0
2018-05-01,206982.0
2018-06-01,210573.0
2018-07-01,212027.0
2018-08-01,212273.0
2018-09-01,214531.0
2018-10-01,215709.0
2018-11-01,210104.0
2018-12-01,207453.0
2019-01-01,208696.0
2019-02-01,211935.0
2019-03-01,213284.0
2019-04-01,212876.0
2019-05-01,212457.0
2019-06-01,212409.0
2019-07-01,213973.0
2019-08-01,212646.0
2019-09-01,211873.0
2019-10-01,211583.0
2019-11-01,212265.0
2019-12-01,213557.0
2020-01-01,210684.0
2020-02-01,209031.0
2020-03-01,187396.0
2020-04-01,154232.0
2020-05-01,161774.0
2020-06-01,189822.0
2020-07-01,202290.0
2020-08-01,201259
2020-09-01,201991
2020-10-01,201371
2020-11-01,204710
2020-12-01,209545
