DATE,ICNSA
2017-05-01,216156.750000000000
2017-06-01,228966.500000000000
2017-07-01,242841.800000000000
2017-08-01,200390.250000000000
2017-09-01,218406.000000000000
2017-10-01,216703.500000000000
2017-11-01,244655.000000000000
2017-12-01,314453.200000000000
2018-01-01,321816.750000000000
2018-02-01,221394.250000000000
2018-03-01,205243.400000000000
2018-04-01,211109.750000000000
2018-05-01,198841.250000000000
2018-06-01,213828.000000000000
2018-07-01,219568.750000000000
2018-08-01,178572.000000000000
2018-09-01,170923.400000000000
2018-10-01,195425.000000000000
2018-11-01,224007.250000000000
2018-12-01,290725.000000000000
2019-01-01,303577.000000000000
2019-02-01,227688.250000000000
2019-03-01,199595.000000000000
2019-04-01,202238.000000000000
2019-05-01,195605.500000000000
2019-06-01,213213.600000000000
2019-07-01,212723.750000000000
2019-08-01,178912.400000000000
2019-09-01,170459.500000000000
2019-10-01,193816.000000000000
2019-11-01,228353.600000000000
2019-12-01,297045.000000000000
2020-01-01,296280.000000000000
2020-02-01,213972.200000000000
2020-03-01,2346945.250000000000
2020-04-01,4743384.750000000000
2020-05-01,2185794.600000000000
2020-06-01,1477826.000000000000
2020-07-01,1372966.750000000000
2020-08-01,875910.000000000000
2020-09-01,822054.500000000000
2020-10-01,762024.800000000000
2020-11-01,757283.750000000000
2020-12-01,901824.000000000000
2021-01-01,931716.600000000000
2021-02-01,806804.333333333333
