DATE,ICNSA
1967-01-01,302250.000000000000
1967-02-01,261250.000000000000
1967-03-01,251500.000000000000
1967-04-01,239400.000000000000
1967-05-01,189000.000000000000
1967-06-01,179250.000000000000
1967-07-01,272400.000000000000
1967-08-01,194250.000000000000
1967-09-01,158600.000000000000
1967-10-01,177250.000000000000
1967-11-01,203500.000000000000
1967-12-01,269600.000000000000
1968-01-01,316250.000000000000
1968-02-01,244500.000000000000
1968-03-01,185000.000000000000
1968-04-01,183000.000000000000
1968-05-01,162000.000000000000
1968-06-01,153400.000000000000
1968-07-01,240500.000000000000
1968-08-01,180800.000000000000
1968-09-01,140250.000000000000
1968-10-01,151750.000000000000
1968-11-01,184400.000000000000
1968-12-01,258000.000000000000
1969-01-01,282000.000000000000
1969-02-01,229000.000000000000
1969-03-01,179000.000000000000
1969-04-01,169000.000000000000
1969-05-01,144200.000000000000
1969-06-01,156250.000000000000
1969-07-01,251250.000000000000
1969-08-01,179800.000000000000
1969-09-01,144000.000000000000
1969-10-01,163250.000000000000
1969-11-01,205000.000000000000
1969-12-01,280000.000000000000
1970-01-01,353600.000000000000
1970-02-01,289500.000000000000
1970-03-01,249250.000000000000
1970-04-01,297000.000000000000
1970-05-01,250800.000000000000
1970-06-01,242000.000000000000
1970-07-01,340000.000000000000
1970-08-01,257200.000000000000
1970-09-01,237500.000000000000
1970-10-01,278600.000000000000
1970-11-01,331750.000000000000
1970-12-01,388250.000000000000
1971-01-01,429400.000000000000
1971-02-01,320750.000000000000
1971-03-01,275500.000000000000
1971-04-01,262500.000000000000
1971-05-01,237800.000000000000
1971-06-01,243000.000000000000
1971-07-01,334400.000000000000
1971-08-01,281000.000000000000
1971-09-01,238250.000000000000
1971-10-01,248600.000000000000
1971-11-01,290250.000000000000
1971-12-01,347250.000000000000
1972-01-01,390400.000000000000
1972-02-01,297750.000000000000
1972-03-01,248000.000000000000
1972-04-01,233800.000000000000
1972-05-01,217750.000000000000
1972-06-01,222250.000000000000
1972-07-01,324600.000000000000
1972-08-01,218500.000000000000
1972-09-01,190200.000000000000
1972-10-01,211250.000000000000
1972-11-01,249000.000000000000
1972-12-01,314600.000000000000
1973-01-01,337000.000000000000
1973-02-01,255750.000000000000
1973-03-01,214800.000000000000
1973-04-01,215250.000000000000
1973-05-01,197750.000000000000
1973-06-01,200400.000000000000
1973-07-01,275750.000000000000
1973-08-01,224250.000000000000
1973-09-01,184200.000000000000
1973-10-01,206250.000000000000
1973-11-01,251250.000000000000
1973-12-01,374800.000000000000
1974-01-01,456750.000000000000
1974-02-01,372000.000000000000
1974-03-01,296000.000000000000
1974-04-01,264250.000000000000
1974-05-01,244000.000000000000
1974-06-01,256400.000000000000
1974-07-01,339750.000000000000
1974-08-01,289200.000000000000
1974-09-01,271500.000000000000
1974-10-01,341000.000000000000
1974-11-01,463200.000000000000
1974-12-01,705000.000000000000
1975-01-01,807250.000000000000
1975-02-01,641250.000000000000
1975-03-01,521400.000000000000
1975-04-01,471500.000000000000
1975-05-01,402600.000000000000
1975-06-01,425000.000000000000
1975-07-01,482250.000000000000
1975-08-01,388600.000000000000
1975-09-01,337500.000000000000
1975-10-01,363500.000000000000
1975-11-01,397000.000000000000
1975-12-01,494750.000000000000
1976-01-01,549400.000000000000
1976-02-01,390750.000000000000
1976-03-01,338250.000000000000
1976-04-01,331750.000000000000
1976-05-01,317400.000000000000
1976-06-01,334750.000000000000
1976-07-01,424000.000000000000
1976-08-01,330750.000000000000
1976-09-01,312000.000000000000
1976-10-01,355200.000000000000
1976-11-01,387250.000000000000
1976-12-01,473500.000000000000
1977-01-01,589400.000000000000
1977-02-01,509500.000000000000
1977-03-01,330250.000000000000
1977-04-01,319600.000000000000
1977-05-01,308250.000000000000
1977-06-01,305500.000000000000
1977-07-01,394800.000000000000
1977-08-01,319500.000000000000
1977-09-01,282750.000000000000
1977-10-01,307600.000000000000
1977-11-01,342750.000000000000
1977-12-01,455000.000000000000
1978-01-01,520750.000000000000
1978-02-01,428000.000000000000
1978-03-01,321000.000000000000
1978-04-01,288200.000000000000
1978-05-01,270250.000000000000
1978-06-01,279500.000000000000
1978-07-01,390800.000000000000
1978-08-01,313250.000000000000
1978-09-01,252000.000000000000
1978-10-01,288000.000000000000
1978-11-01,320750.000000000000
1978-12-01,441200.000000000000
1979-01-01,537500.000000000000
1979-02-01,397500.000000000000
1979-03-01,323000.000000000000
1979-04-01,379000.000000000000
1979-05-01,291000.000000000000
1979-06-01,321000.000000000000
1979-07-01,441500.000000000000
1979-08-01,357500.000000000000
1979-09-01,304000.000000000000
1979-10-01,352250.000000000000
1979-11-01,386000.000000000000
1979-12-01,533000.000000000000
1980-01-01,635250.000000000000
1980-02-01,449250.000000000000
1980-03-01,401800.000000000000
1980-04-01,490750.000000000000
1980-05-01,511600.000000000000
1980-06-01,541250.000000000000
1980-07-01,606000.000000000000
1980-08-01,454400.000000000000
1980-09-01,383000.000000000000
1980-10-01,391500.000000000000
1980-11-01,412200.000000000000
1980-12-01,515000.000000000000
1981-01-01,613600.000000000000
1981-02-01,450250.000000000000
1981-03-01,380000.000000000000
1981-04-01,378250.000000000000
1981-05-01,338800.000000000000
1981-06-01,378500.000000000000
1981-07-01,464000.000000000000
1981-08-01,387000.000000000000
1981-09-01,377750.000000000000
1981-10-01,445800.000000000000
1981-11-01,518500.000000000000
1981-12-01,682250.000000000000
1982-01-01,798600.000000000000
1982-02-01,565750.000000000000
1982-03-01,523350.000000000000
1982-04-01,545450.000000000000
1982-05-01,490140.000000000000
1982-06-01,509000.000000000000
1982-07-01,602300.000000000000
1982-08-01,529575.000000000000
1982-09-01,524950.000000000000
1982-10-01,579680.000000000000
1982-11-01,594000.000000000000
1982-12-01,649800.000000000000
1983-01-01,748720.000000000000
1983-02-01,518575.000000000000
1983-03-01,451675.000000000000
1983-04-01,445740.000000000000
1983-05-01,393375.000000000000
1983-06-01,373475.000000000000
1983-07-01,424080.000000000000
1983-08-01,361325.000000000000
1983-09-01,317275.000000000000
1983-10-01,348040.000000000000
1983-11-01,385075.000000000000
1983-12-01,474320.000000000000
1984-01-01,545775.000000000000
1984-02-01,367075.000000000000
1984-03-01,325400.000000000000
1984-04-01,339225.000000000000
1984-05-01,304475.000000000000
1984-06-01,311640.000000000000
1984-07-01,402100.000000000000
1984-08-01,325125.000000000000
1984-09-01,306280.000000000000
1984-10-01,371425.000000000000
1984-11-01,392175.000000000000
1984-12-01,485220.000000000000
1985-01-01,588575.000000000000
1985-02-01,427350.000000000000
1985-03-01,360560.000000000000
1985-04-01,368000.000000000000
1985-05-01,332025.000000000000
1985-06-01,338180.000000000000
1985-07-01,415850.000000000000
1985-08-01,335160.000000000000
1985-09-01,314200.000000000000
1985-10-01,355075.000000000000
1985-11-01,393500.000000000000
1985-12-01,488500.000000000000
1986-01-01,578975.000000000000
1986-02-01,404975.000000000000
1986-03-01,362180.000000000000
1986-04-01,359000.000000000000
1986-05-01,319360.000000000000
1986-06-01,332600.000000000000
1986-07-01,401675.000000000000
1986-08-01,338220.000000000000
1986-09-01,303625.000000000000
1986-10-01,333000.000000000000
1986-11-01,360120.000000000000
1986-12-01,452250.000000000000
1987-01-01,517791.600000000000
1987-02-01,372936.500000000000
1987-03-01,316492.500000000000
1987-04-01,311017.750000000000
1987-05-01,273454.800000000000
1987-06-01,290048.500000000000
1987-07-01,356452.000000000000
1987-08-01,270274.000000000000
1987-09-01,237955.250000000000
1987-10-01,262038.800000000000
1987-11-01,308831.250000000000
1987-12-01,391804.000000000000
1988-01-01,501111.800000000000
1988-02-01,338938.250000000000
1988-03-01,287818.750000000000
1988-04-01,273907.800000000000
1988-05-01,259977.000000000000
1988-06-01,259057.500000000000
1988-07-01,340025.200000000000
1988-08-01,262488.000000000000
1988-09-01,236912.500000000000
1988-10-01,254180.400000000000
1988-11-01,292068.000000000000
1988-12-01,397520.600000000000
1989-01-01,447423.750000000000
1989-02-01,328078.500000000000
1989-03-01,306542.250000000000
1989-04-01,278282.000000000000
1989-05-01,269405.250000000000
1989-06-01,279918.000000000000
1989-07-01,358763.400000000000
1989-08-01,279730.000000000000
1989-09-01,259927.400000000000
1989-10-01,323391.750000000000
1989-11-01,333646.750000000000
1989-12-01,468236.000000000000
1990-01-01,559711.500000000000
1990-02-01,392317.750000000000
1990-03-01,329308.800000000000
1990-04-01,326856.000000000000
1990-05-01,296496.000000000000
1990-06-01,308946.600000000000
1990-07-01,407258.250000000000
1990-08-01,320936.500000000000
1990-09-01,304230.600000000000
1990-10-01,374945.750000000000
1990-11-01,436081.000000000000
1990-12-01,590645.800000000000
1991-01-01,681742.250000000000
1991-02-01,532086.250000000000
1991-03-01,476003.000000000000
1991-04-01,431627.750000000000
1991-05-01,374545.000000000000
1991-06-01,365798.400000000000
1991-07-01,451950.500000000000
1991-08-01,357111.600000000000
1991-09-01,327980.500000000000
1991-10-01,369918.500000000000
1991-11-01,451039.800000000000
1991-12-01,586422.750000000000
1992-01-01,681729.000000000000
1992-02-01,480067.200000000000
1992-03-01,408942.750000000000
1992-04-01,384351.750000000000
1992-05-01,343566.200000000000
1992-06-01,371103.250000000000
1992-07-01,477153.250000000000
1992-08-01,338640.200000000000
1992-09-01,324685.750000000000
1992-10-01,331120.800000000000
1992-11-01,364853.500000000000
1992-12-01,415908.500000000000
1993-01-01,511771.200000000000
1993-02-01,360438.750000000000
1993-03-01,336331.000000000000
1993-04-01,327749.750000000000
1993-05-01,290319.600000000000
1993-06-01,297084.500000000000
1993-07-01,367504.600000000000
1993-08-01,279246.500000000000
1993-09-01,263960.750000000000
1993-10-01,304385.800000000000
1993-11-01,340114.500000000000
1993-12-01,402609.250000000000
1994-01-01,527731.000000000000
1994-02-01,372803.500000000000
1994-03-01,321743.000000000000
1994-04-01,312520.400000000000
1994-05-01,306681.250000000000
1994-06-01,296735.750000000000
1994-07-01,363172.400000000000
1994-08-01,275351.750000000000
1994-09-01,255957.750000000000
1994-10-01,287811.000000000000
1994-11-01,324759.750000000000
1994-12-01,418478.800000000000
1995-01-01,504687.250000000000
1995-02-01,360596.250000000000
1995-03-01,326571.000000000000
1995-04-01,318328.200000000000
1995-05-01,316947.750000000000
1995-06-01,322348.750000000000
1995-07-01,396551.400000000000
1995-08-01,291403.500000000000
1995-09-01,278133.800000000000
1995-10-01,326673.250000000000
1995-11-01,370256.500000000000
1995-12-01,464628.400000000000
1996-01-01,559426.500000000000
1996-02-01,404259.750000000000
1996-03-01,363937.200000000000
1996-04-01,331169.000000000000
1996-05-01,294310.000000000000
1996-06-01,306039.400000000000
1996-07-01,371911.500000000000
1996-08-01,269171.000000000000
1996-09-01,261460.000000000000
1996-10-01,295612.250000000000
1996-11-01,340699.000000000000
1996-12-01,449739.250000000000
1997-01-01,523726.500000000000
1997-02-01,345110.250000000000
1997-03-01,297822.000000000000
1997-04-01,305652.000000000000
1997-05-01,270759.200000000000
1997-06-01,300381.000000000000
1997-07-01,357054.000000000000
1997-08-01,268181.000000000000
1997-09-01,240419.750000000000
1997-10-01,268842.000000000000
1997-11-01,315812.000000000000
1997-12-01,397743.500000000000
1998-01-01,477555.000000000000
1998-02-01,330828.500000000000
1998-03-01,292586.000000000000
1998-04-01,287194.250000000000
1998-05-01,260195.800000000000
1998-06-01,313387.250000000000
1998-07-01,372065.000000000000
1998-08-01,255116.000000000000
1998-09-01,232917.250000000000
1998-10-01,272364.800000000000
1998-11-01,320414.250000000000
1998-12-01,391032.250000000000
1999-01-01,490268.000000000000
1999-02-01,312418.500000000000
1999-03-01,280852.000000000000
1999-04-01,285247.500000000000
1999-05-01,257679.600000000000
1999-06-01,265521.000000000000
1999-07-01,316900.400000000000
1999-08-01,235450.500000000000
1999-09-01,222926.750000000000
1999-10-01,253716.200000000000
1999-11-01,284311.500000000000
1999-12-01,351063.500000000000
2000-01-01,430176.800000000000
2000-02-01,304340.000000000000
2000-03-01,255026.750000000000
2000-04-01,246118.400000000000
2000-05-01,241421.750000000000
2000-06-01,262426.000000000000
2000-07-01,314495.000000000000
2000-08-01,254595.750000000000
2000-09-01,233557.600000000000
2000-10-01,270200.000000000000
2000-11-01,333290.000000000000
2000-12-01,458103.800000000000
2001-01-01,500976.000000000000
2001-02-01,381069.750000000000
2001-03-01,354263.200000000000
2001-04-01,366959.750000000000
2001-05-01,338172.250000000000
2001-06-01,362992.200000000000
2001-07-01,447490.000000000000
2001-08-01,324899.500000000000
2001-09-01,339967.800000000000
2001-10-01,433769.500000000000
2001-11-01,439872.250000000000
2001-12-01,543054.600000000000
2002-01-01,606644.000000000000
2002-02-01,407060.000000000000
2002-03-01,375395.400000000000
2002-04-01,403429.750000000000
2002-05-01,354073.250000000000
2002-06-01,352301.800000000000
2002-07-01,424115.250000000000
2002-08-01,319722.800000000000
2002-09-01,323066.250000000000
2002-10-01,369205.000000000000
2002-11-01,403918.000000000000
2002-12-01,534516.500000000000
2003-01-01,580391.500000000000
2003-02-01,418658.250000000000
2003-03-01,393488.600000000000
2003-04-01,407398.250000000000
2003-05-01,363067.200000000000
2003-06-01,393833.750000000000
2003-07-01,453446.250000000000
2003-08-01,325296.800000000000
2003-09-01,314275.000000000000
2003-10-01,346861.250000000000
2003-11-01,369296.000000000000
2003-12-01,459878.500000000000
2004-01-01,502007.000000000000
2004-02-01,361294.750000000000
2004-03-01,313078.000000000000
2004-04-01,325909.750000000000
2004-05-01,294218.400000000000
2004-06-01,315846.500000000000
2004-07-01,356835.200000000000
2004-08-01,276322.000000000000
2004-09-01,271018.250000000000
2004-10-01,304253.400000000000
2004-11-01,334987.250000000000
2004-12-01,416405.500000000000
2005-01-01,485570.400000000000
2005-02-01,312817.750000000000
2005-03-01,305306.250000000000
2005-04-01,302215.000000000000
2005-05-01,288484.500000000000
2005-06-01,295591.000000000000
2005-07-01,337237.600000000000
2005-08-01,257638.750000000000
2005-09-01,308159.750000000000
2005-10-01,319241.400000000000
2005-11-01,320911.000000000000
2005-12-01,420991.000000000000
2006-01-01,407929.500000000000
2006-02-01,293413.500000000000
2006-03-01,282809.500000000000
2006-04-01,281643.400000000000
2006-05-01,294023.250000000000
2006-06-01,277774.750000000000
2006-07-01,329793.000000000000
2006-08-01,258830.250000000000
2006-09-01,255498.000000000000
2006-10-01,292990.000000000000
2006-11-01,326015.250000000000
2006-12-01,424005.800000000000
2007-01-01,435077.500000000000
2007-02-01,326745.250000000000
2007-03-01,287591.600000000000
2007-04-01,304459.750000000000
2007-05-01,269290.000000000000
2007-06-01,289955.400000000000
2007-07-01,339296.250000000000
2007-08-01,265183.750000000000
2007-09-01,253605.000000000000
2007-10-01,303967.000000000000
2007-11-01,331190.500000000000
2007-12-01,448652.400000000000
2008-01-01,463884.500000000000
2008-02-01,353432.000000000000
2008-03-01,336191.400000000000
2008-04-01,348589.250000000000
2008-05-01,321689.000000000000
2008-06-01,362247.250000000000
2008-07-01,413883.000000000000
2008-08-01,360319.600000000000
2008-09-01,376895.500000000000
2008-10-01,436607.250000000000
2008-11-01,533118.000000000000
2008-12-01,706759.750000000000
2009-01-01,751011.000000000000
2009-02-01,645399.500000000000
2009-03-01,610798.250000000000
2009-04-01,603455.500000000000
2009-05-01,537335.200000000000
2009-06-01,569838.250000000000
2009-07-01,592520.500000000000
2009-08-01,468175.400000000000
2009-09-01,443891.750000000000
2009-10-01,484431.600000000000
2009-11-01,506423.000000000000
2009-12-01,591995.500000000000
2010-01-01,636509.400000000000
2010-02-01,481840.750000000000
2010-03-01,431879.250000000000
2010-04-01,450319.000000000000
2010-05-01,411580.000000000000
2010-06-01,429740.250000000000
2010-07-01,460848.200000000000
2010-08-01,399761.250000000000
2010-09-01,369636.500000000000
2010-10-01,411990.000000000000
2010-11-01,434986.000000000000
2010-12-01,524686.250000000000
2011-01-01,570563.200000000000
2011-02-01,399972.000000000000
2011-03-01,372733.500000000000
2011-04-01,397504.200000000000
2011-05-01,379359.750000000000
2011-06-01,392085.750000000000
2011-07-01,415999.800000000000
2011-08-01,345513.250000000000
2011-09-01,339835.750000000000
2011-10-01,368533.000000000000
2011-11-01,394586.250000000000
2011-12-01,484701.000000000000
2012-01-01,502702.000000000000
2012-02-01,361820.000000000000
2012-03-01,333441.200000000000
2012-04-01,366163.500000000000
2012-05-01,335715.250000000000
2012-06-01,361178.000000000000
2012-07-01,387790.750000000000
2012-08-01,315574.500000000000
2012-09-01,308890.200000000000
2012-10-01,344451.500000000000
2012-11-01,400718.750000000000
2012-12-01,455699.000000000000
2013-01-01,480599.500000000000
2013-02-01,353016.500000000000
2013-03-01,317710.600000000000
2013-04-01,336059.000000000000
2013-05-01,311180.000000000000
2013-06-01,327373.400000000000
2013-07-01,354233.500000000000
2013-08-01,280388.600000000000
2013-09-01,252469.250000000000
2013-10-01,333564.250000000000
2013-11-01,342836.000000000000
2013-12-01,437240.500000000000
2014-01-01,449356.250000000000
2014-02-01,338376.500000000000
2014-03-01,295009.400000000000
2014-04-01,308816.000000000000
2014-05-01,277285.800000000000
2014-06-01,306346.500000000000
2014-07-01,309496.500000000000
2014-08-01,253118.800000000000
2014-09-01,236106.000000000000
2014-10-01,264699.500000000000
2014-11-01,302793.000000000000
2014-12-01,361923.750000000000
2015-01-01,388218.600000000000
2015-02-01,299566.750000000000
2015-03-01,256486.750000000000
2015-04-01,273070.750000000000
2015-05-01,241409.000000000000
2015-06-01,268057.000000000000
2015-07-01,285329.750000000000
2015-08-01,229881.800000000000
2015-09-01,216467.000000000000
2015-10-01,244072.600000000000
2015-11-01,280991.500000000000
2015-12-01,340987.500000000000
2016-01-01,378979.000000000000
2016-02-01,265962.000000000000
2016-03-01,237778.500000000000
2016-04-01,249257.200000000000
2016-05-01,248576.500000000000
2016-06-01,252551.750000000000
2016-07-01,257152.600000000000
2016-08-01,220952.750000000000
2016-09-01,203777.500000000000
2016-10-01,231147.000000000000
2016-11-01,254986.500000000000
2016-12-01,333138.000000000000
2017-01-01,333138.500000000000
2017-02-01,239437.500000000000
2017-03-01,229787.000000000000
2017-04-01,225320.000000000000
