DATE,TOTCI
1973-01-01,135.2567200000000000
1973-02-01,140.7983250000000000
1973-03-01,144.8210500000000000
1973-04-01,147.2210250000000000
1973-05-01,149.6865800000000000
1973-06-01,152.7443500000000000
1973-07-01,154.8140000000000000
1973-08-01,157.8376400000000000
1973-09-01,158.4124500000000000
1973-10-01,159.1595800000000000
1973-11-01,159.8660500000000000
1973-12-01,161.1126000000000000
1974-01-01,162.7901600000000000
1974-02-01,164.6968500000000000
1974-03-01,168.1315750000000000
1974-04-01,174.3364500000000000
1974-05-01,177.4088800000000000
1974-06-01,179.6998500000000000
1974-07-01,183.7942800000000000
1974-08-01,186.2344000000000000
1974-09-01,187.9235000000000000
1974-10-01,189.0579600000000000
1974-11-01,190.3427750000000000
1974-12-01,191.1740750000000000
1975-01-01,191.6166600000000000
1975-02-01,190.4550000000000000
1975-03-01,188.3888250000000000
1975-04-01,187.4067800000000000
1975-05-01,186.1685000000000000
1975-06-01,184.8222750000000000
1975-07-01,183.7119200000000000
1975-08-01,182.9102000000000000
1975-09-01,182.7952500000000000
1975-10-01,182.7917600000000000
1975-11-01,182.5691250000000000
1975-12-01,183.3089200000000000
1976-01-01,182.6260250000000000
1976-02-01,182.2477750000000000
1976-03-01,179.6866400000000000
1976-04-01,177.4365000000000000
1976-05-01,178.2091750000000000
1976-06-01,179.1617200000000000
1976-07-01,179.1662250000000000
1976-08-01,179.5417250000000000
1976-09-01,181.0478200000000000
1976-10-01,182.2732500000000000
1976-11-01,183.6889000000000000
1976-12-01,185.1402800000000000
1977-01-01,185.5878750000000000
1977-02-01,187.0777250000000000
1977-03-01,189.0455200000000000
1977-04-01,190.2186750000000000
1977-05-01,191.4766750000000000
1977-06-01,193.3933800000000000
1977-07-01,194.9633250000000000
1977-08-01,197.3700400000000000
1977-09-01,198.9528250000000000
1977-10-01,200.8595000000000000
1977-11-01,202.9230600000000000
1977-12-01,204.5754500000000000
1978-01-01,206.7269000000000000
1978-02-01,209.6332750000000000
1978-03-01,213.2260200000000000
1978-04-01,216.7001750000000000
1978-05-01,220.1644000000000000
1978-06-01,223.4010500000000000
1978-07-01,225.8509500000000000
1978-08-01,228.2083800000000000
1978-09-01,230.3464750000000000
1978-10-01,232.5415250000000000
1978-11-01,235.4719600000000000
1978-12-01,237.1227750000000000
1979-01-01,239.5747200000000000
1979-02-01,243.8766000000000000
1979-03-01,247.6236250000000000
1979-04-01,253.0015000000000000
1979-05-01,258.2781400000000000
1979-06-01,263.1581500000000000
1979-07-01,267.2748250000000000
1979-08-01,270.3398200000000000
1979-09-01,274.2100500000000000
1979-10-01,275.9805600000000000
1979-11-01,277.1417750000000000
1979-12-01,279.3789000000000000
1980-01-01,281.7053000000000000
1980-02-01,285.4893750000000000
1980-03-01,288.9600750000000000
1980-04-01,290.6468600000000000
1980-05-01,287.8736000000000000
1980-06-01,287.2012250000000000
1980-07-01,287.8153000000000000
1980-08-01,291.1259750000000000
1980-09-01,294.0943750000000000
1980-10-01,299.2204400000000000
1980-11-01,306.7198250000000000
1980-12-01,311.8369400000000000
1981-01-01,312.3741000000000000
1981-02-01,313.0554000000000000
1981-03-01,313.9527500000000000
1981-04-01,317.9690400000000000
1981-05-01,323.7718000000000000
1981-06-01,327.2386000000000000
1981-07-01,331.4853400000000000
1981-08-01,336.3643750000000000
1981-09-01,337.9816800000000000
1981-10-01,341.0682000000000000
1981-11-01,344.4871250000000000
1981-12-01,350.1105400000000000
1982-01-01,354.2392250000000000
1982-02-01,360.3795500000000000
1982-03-01,363.6179200000000000
1982-04-01,370.8734000000000000
1982-05-01,375.3688000000000000
1982-06-01,380.2654800000000000
1982-07-01,384.0425750000000000
1982-08-01,385.1261750000000000
1982-09-01,390.5273600000000000
1982-10-01,392.6257000000000000
1982-11-01,391.7050000000000000
1982-12-01,392.1430000000000000
1983-01-01,392.9110500000000000
1983-02-01,393.3187000000000000
1983-03-01,393.9256200000000000
1983-04-01,392.5179250000000000
1983-05-01,391.2209750000000000
1983-06-01,393.6169800000000000
1983-07-01,397.3382250000000000
1983-08-01,401.4424200000000000
1983-09-01,402.5003750000000000
1983-10-01,405.2369250000000000
1983-11-01,409.3130200000000000
1983-12-01,413.7959750000000000
1984-01-01,415.3629250000000000
1984-02-01,422.3803800000000000
1984-03-01,430.4878500000000000
1984-04-01,437.0935750000000000
1984-05-01,445.4043400000000000
1984-06-01,450.6258500000000000
1984-07-01,455.3465500000000000
1984-08-01,458.3894400000000000
1984-09-01,461.5650750000000000
1984-10-01,466.0061200000000000
1984-11-01,470.8638250000000000
1984-12-01,473.6650750000000000
1985-01-01,472.6805400000000000
1985-02-01,475.4477250000000000
1985-03-01,480.1615000000000000
1985-04-01,479.1747000000000000
1985-05-01,480.4362000000000000
1985-06-01,481.8747000000000000
1985-07-01,486.8050200000000000
1985-08-01,489.4857000000000000
1985-09-01,494.5460750000000000
1985-10-01,493.1753600000000000
1985-11-01,496.8562500000000000
1985-12-01,498.4900250000000000
1986-01-01,500.4554200000000000
1986-02-01,500.5914750000000000
1986-03-01,504.8937500000000000
1986-04-01,507.5578400000000000
1986-05-01,507.7452250000000000
1986-06-01,510.8555250000000000
1986-07-01,512.8713000000000000
1986-08-01,514.6851000000000000
1986-09-01,517.2402250000000000
1986-10-01,517.7793000000000000
1986-11-01,523.0063250000000000
1986-12-01,537.9473000000000000
1987-01-01,548.8431500000000000
1987-02-01,547.1411750000000000
1987-03-01,548.0725500000000000
1987-04-01,549.4077600000000000
1987-05-01,551.1706750000000000
1987-06-01,554.4330750000000000
